,title,link
0,arcUP0542文久０３・・芳年「東海道　京都之内」「大内能上覧図」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP0542.jpg
1,arcUP0544文久０３・・豊国〈3〉「東海道　京都名所之内」「四条河原」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP0544.jpg
2,arcUP1649文久０３・05・暁斎「東海道名所之内」「御能拝見之図」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1649.jpg
3,arcUP1732文久０３・04・芳盛「東海道」「京都　紫震殿」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1732.jpg
4,arcUP1733文久０３・05・芳盛「東海道之内」「京都参内」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1733.jpg
5,arcUP1734文久０３・06・芳盛「東海道之内」「京」「大内蹴鞠之遊覧」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1734.jpg
6,arcUP1735文久０３・04・豊国〈3〉「東海道名所之内」「上加茂」「岩本社」「三本杉」「片岡社」「楼門」「御供所」「若宮」「別雷皇太神宮」「杉尾社」「仮殿」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1735.jpg
7,arcUP1736文久０３・04・国貞〈2〉「東海道名所之内」「京加茂」「山科」「黒谷」「吉田山」「将軍塚」「比叡山」「比良」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1736.jpg
8,arcUP1737文久０３・05・暁斎「東海道名所之内」「加茂の競馬」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1737.jpg
9,arcUP1738文久０３・04・豊国〈3〉「東海道名所之内」「糺河原」「糺川原」「みたらし川」「河合社」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1738.jpg
10,arcUP1739文久０３・06・芳艶「東海道名所之内」「祇園祭礼」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1739.jpg
11,arcUP1740文久０３・05・芳幾「東海道京都名所之内」「島原」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1740.jpg
12,arcUP1741文久０３・05・芳盛「東海道名所」「京洛中ノ内」「五条橋」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1741.jpg
13,arcUP1742文久０３・05・暁斎「東海道名所之内」「京都等持院足利十五代木像之図」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1742.jpg
14,arcUP1743文久０３・05・暁斎「東海道名所つゝき」「羅生門之古図」「春雨ノ社」「金札石刀石トモ云」「鬼カミノハシラ」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1743.jpg
15,arcUP1931文久０３・05・芳盛「東海道之内」「京都御出立」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1931.jpg
16,arcUP2017文久０３・04・豊国〈3〉「東海道名所之内」「下加茂」「☆☆との」「いのうへ社」「二言社」「御供所」「本社御租神」「石☆社」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP2017.jpg
17,arcUP2018文久０３・08・国貞〈2〉「東海道名所之内」「宇治」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP2018.jpg
18,arcUP0591文化年間・・無款「二見浦」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP0591.jpg
19,arcUP2548安政年間・・未詳「長谷川貞信筆　都名所写真鏡　上篇」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP2548.jpg
20,arcUP1662安政年間・・貞信〈1〉「都名所之内」「広沢池秋の月」「遍照寺山」「いけ浦」「愛宕山」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1662.jpg
21,arcUP1663安政年間・・貞信〈1〉「都名所之内」「知恩院本堂に傘を見る」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1663.jpg
22,arcUP1664安政年間・・貞信〈1〉「都名所之内」「伏見稲荷社」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1664.jpg
23,arcUP1665安政年間・・貞信〈1〉「都名所之内」「高台寺秋ノ景」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1665.jpg
24,arcUP1666安政年間・・貞信〈1〉「都名所之内」「東福寺通天橋」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1666.jpg
25,arcUP1667安政年間・・貞信〈1〉「都名所之内」「西大谷目鏡橋」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1667.jpg
26,arcUP1668安政年間・・貞信〈1〉「都名所之内」「音羽山清水寺」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1668.jpg
27,arcUP1669安政年間・・貞信〈1〉「都名所之内」「栂尾門前雨中」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1669.jpg
28,arcUP1670安政年間・・貞信〈1〉「都名所之内」「祇園大鳥居」,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP1670.jpg
